team,season,goalie_name,goalie_gp,gsax,gsax_pg
OTT,2022,Cam Talbot,36,-0.730000000000004,-0.020277777777777888
PHI,2022,Carter Hart,55,10.280000000000001,0.18690909090909094
PIT,2022,Tristan Jarry,47,-2.819999999999993,-0.05999999999999985
SEA,2022,Martin Jones,48,-6.920000000000002,-0.1441666666666667
SJS,2022,James Reimer,43,-11.310000000000002,-0.2630232558139535
STL,2022,Jordan Binnington,61,-9.159999999999997,-0.15016393442622944
TBL,2022,Andrei Vasilevskiy,60,25.340000000000003,0.4223333333333334
TOR,2022,Ilya Samsonov,42,18.049999999999997,0.4297619047619047
VAN,2022,Thatcher Demko,32,-5.650000000000006,-0.17656250000000018
VGK,2022,Jonathan Quick,41,-17.17,-0.4187804878048781
WPG,2022,Connor Hellebuyck,64,30.77000000000001,0.48078125000000016
WSH,2022,Darcy Kuemper,57,8.759999999999991,0.15368421052631562
ANA,2023,John Gibson,46,-9.590000000000003,-0.20847826086956528
ARI,2023,Connor Ingram,50,8.310000000000002,0.16620000000000004
BOS,2023,Jeremy Swayman,44,18.409999999999997,0.41840909090909084
BUF,2023,Ukko-Pekka Luukkonen,54,9.449999999999989,0.1749999999999998
CAR,2023,Pyotr Kochetkov,42,0.6800000000000068,0.016190476190476352
CBJ,2023,Elvis Merzlikins,41,-6.349999999999994,-0.15487804878048766
CGY,2023,Jacob Markstrom,48,13.699999999999989,0.28541666666666643
CHI,2023,Petr Mrazek,56,1.5999999999999943,0.02857142857142847
COL,2023,Alexandar Georgiev,63,4.969999999999999,0.07888888888888887
DAL,2023,Jake Oettinger,54,1.9499999999999886,0.0361111111111109
DET,2023,Alex Lyon,44,2.1100000000000136,0.04795454545454576
EDM,2023,Stuart Skinner,59,1.9799999999999898,0.03355932203389813
FLA,2023,Sergei Bobrovsky,58,15.550000000000011,0.26810344827586224
LAK,2023,Cam Talbot,54,10.740000000000009,0.19888888888888906
MIN,2023,Filip Gustavsson,45,-4.840000000000003,-0.10755555555555563
MTL,2023,Sam Montembeault,41,3.3400000000000034,0.08146341463414643
NJD,2023,Kaapo Kahkonen,37,1.3599999999999994,0.03675675675675674
NSH,2023,Juuse Saros,64,-2.969999999999999,-0.04640624999999998
NYI,2023,Ilya Sorokin,56,1.4300000000000068,0.025535714285714408
NYR,2023,Igor Shesterkin,55,12.080000000000013,0.21963636363636385
OTT,2023,Joonas Korpisalo,55,-16.05000000000001,-0.29181818181818203
PHI,2023,Samuel Ersson,51,-4.760000000000005,-0.09333333333333343
PIT,2023,Tristan Jarry,51,2.6200000000000045,0.05137254901960793
SEA,2023,Joey Daccord,50,3.760000000000005,0.0752000000000001
SJS,2023,Mackenzie Blackwood,44,2.4499999999999886,0.05568181818181792
STL,2023,Jordan Binnington,57,16.5,0.2894736842105263
TBL,2023,Andrei Vasilevskiy,52,-2.5200000000000102,-0.04846153846153866
TOR,2023,Ilya Samsonov,40,-8.14,-0.20350000000000001
VAN,2023,Thatcher Demko,51,21.99000000000001,0.4311764705882355
VGK,2023,Logan Thompson,46,4.560000000000002,0.09913043478260875
WPG,2023,Connor Hellebuyck,60,33.120000000000005,0.552
WSH,2023,Charlie Lindgren,50,10.539999999999992,0.21079999999999985
ANA,2024,Lukas Dostal,54,14.349999999999994,0.2657407407407406
BOS,2024,Jeremy Swayman,58,-9.099999999999994,-0.15689655172413783
BUF,2024,Ukko-Pekka Luukkonen,55,-8.580000000000013,-0.15600000000000022
CAR,2024,Pyotr Kochetkov,47,5.989999999999995,0.1274468085106382
CBJ,2024,Elvis Merzlikins,53,-8.169999999999987,-0.15415094339622618
CGY,2024,Dustin Wolf,53,11.930000000000007,0.22509433962264164
CHI,2024,Spencer Knight,38,6.900000000000006,0.1815789473684212
COL,2024,Mackenzie Blackwood,56,13.319999999999993,0.23785714285714274
DAL,2024,Jake Oettinger,58,10.650000000000006,0.1836206896551725
DET,2024,Cam Talbot,47,12.800000000000011,0.2723404255319151
EDM,2024,Stuart Skinner,51,-1.5200000000000102,-0.029803921568627652
FLA,2024,Sergei Bobrovsky,54,7.240000000000009,0.13407407407407423
LAK,2024,Darcy Kuemper,50,22.510000000000005,0.4502000000000001
MIN,2024,Filip Gustavsson,58,15.319999999999993,0.26413793103448263
MTL,2024,Sam Montembeault,62,24.590000000000003,0.3966129032258065
NJD,2024,Jacob Markstrom,49,3.430000000000007,0.07000000000000015
NSH,2024,Juuse Saros,58,-7.4199999999999875,-0.12793103448275842
NYI,2024,Ilya Sorokin,61,17.539999999999992,0.2875409836065572
NYR,2024,Igor Shesterkin,61,21.560000000000002,0.3534426229508197
OTT,2024,Linus Ullmark,44,13.840000000000003,0.31454545454545463
PHI,2024,Samuel Ersson,47,-19.879999999999995,-0.42297872340425524
PIT,2024,Alex Nedeljkovic,38,-0.980000000000004,-0.02578947368421063
SEA,2024,Joey Daccord,57,19.05000000000001,0.3342105263157897
SJS,2024,Alexandar Georgiev,49,-17.94999999999999,-0.3663265306122447
STL,2024,Jordan Binnington,56,5.25,0.09375
TBL,2024,Andrei Vasilevskiy,63,29.159999999999997,0.4628571428571428
TOR,2024,Joseph Woll,42,16.849999999999994,0.40119047619047604
UTA,2024,Karel Vejmelka,58,14.180000000000007,0.24448275862068977
VAN,2024,Kevin Lankinen,51,0.09000000000000341,0.001764705882353008
VGK,2024,Adin Hill,50,14.530000000000001,0.2906
WPG,2024,Connor Hellebuyck,63,39.59,0.6284126984126984
WSH,2024,Logan Thompson,43,25.960000000000008,0.6037209302325584
ANA,2025,Lukas Dostal,56,-2.9199999999999875,-0.05214285714285692
BOS,2025,Jeremy Swayman,55,28.78,0.5232727272727273
BUF,2025,Alex Lyon,36,12.629999999999995,0.3508333333333332
CAR,2025,Brandon Bussi,39,2.780000000000001,0.07128205128205131
CBJ,2025,Jet Greaves,55,16.460000000000008,0.2992727272727274
CGY,2025,Dustin Wolf,57,-1.7800000000000011,-0.031228070175438615
CHI,2025,Spencer Knight,54,10.900000000000006,0.20185185185185195
COL,2025,Scott Wedgewood,45,23.120000000000005,0.5137777777777779
DAL,2025,Jake Oettinger,54,5.719999999999999,0.10592592592592591
DET,2025,John Gibson,57,11.72999999999999,0.20578947368421036
EDM,2025,Tristan Jarry,33,-4.1299999999999955,-0.125151515151515
FLA,2025,Sergei Bobrovsky,52,-12.150000000000006,-0.23365384615384627
LAK,2025,Darcy Kuemper,50,-5.77000000000001,-0.11540000000000021
MIN,2025,Filip Gustavsson,50,1.3799999999999955,0.02759999999999991
MTL,2025,Jakub Dobes,43,17.25999999999999,0.40139534883720906
NJD,2025,Jacob Markstrom,44,-11.930000000000007,-0.2711363636363638
NSH,2025,Juuse Saros,59,-9.27000000000001,-0.15711864406779677
NYI,2025,Ilya Sorokin,55,25.30000000000001,0.4600000000000002
NYR,2025,Igor Shesterkin,51,21.25,0.4166666666666667
OTT,2025,Linus Ullmark,49,-12.810000000000002,-0.26142857142857145
PHI,2025,Dan Vladar,52,13.759999999999991,0.2646153846153844
PIT,2025,Stuart Skinner,50,8.310000000000002,0.16620000000000004
SEA,2025,Joey Daccord,47,-6.159999999999997,-0.13106382978723397
SJS,2025,Yaroslav Askarov,47,-18.909999999999997,-0.40234042553191485
STL,2025,Joel Hofer,46,11.689999999999998,0.25413043478260866
TBL,2025,Andrei Vasilevskiy,58,24.74000000000001,0.4265517241379312
TOR,2025,Joseph Woll,39,-6.599999999999994,-0.16923076923076907
UTA,2025,Karel Vejmelka,64,6.9199999999999875,0.1081249999999998
VAN,2025,Kevin Lankinen,47,-19.330000000000013,-0.4112765957446811
VGK,2025,Akira Schmid,34,-1.0,-0.029411764705882353
WPG,2025,Connor Hellebuyck,57,5.539999999999992,0.0971929824561402
WSH,2025,Logan Thompson,58,29.319999999999993,0.5055172413793102
