team,season,games_played,xgf_pg,xga_pg,gf_pg,ga_pg
PHI,2011,82,3.289268292682927,2.752560975609756,3.1707317073170733,2.7439024390243905
PIT,2011,82,3.216219512195122,2.54280487804878,3.3292682926829267,2.658536585365854
SJS,2011,82,2.872317073170732,2.42609756097561,2.6707317073170733,2.5
STL,2011,82,2.881829268292683,2.254390243902439,2.5121951219512195,1.8902439024390243
TBL,2011,82,2.5540243902439026,2.984268292682927,2.8292682926829267,3.3902439024390243
TOR,2011,82,2.8310975609756097,3.0459756097560975,2.768292682926829,3.158536585365854
VAN,2011,82,2.533292682926829,2.6087804878048777,2.9390243902439024,2.3292682926829267
WPG,2011,82,2.7671951219512194,2.912560975609756,2.6951219512195124,2.951219512195122
WSH,2011,82,2.3352439024390246,2.57390243902439,2.658536585365854,2.7560975609756095
ANA,2012,48,2.5310416666666664,2.4491666666666667,2.7916666666666665,2.3958333333333335
ARI,2012,48,2.6029166666666668,2.80125,2.5208333333333335,2.6041666666666665
BOS,2012,48,2.9427083333333335,2.624375,2.6458333333333335,2.2083333333333335
BUF,2012,48,2.3033333333333332,3.1033333333333335,2.4583333333333335,2.8958333333333335
CAR,2012,48,3.0733333333333337,3.247916666666667,2.6458333333333335,3.3125
CBJ,2012,48,2.145625,2.28875,2.3958333333333335,2.3958333333333335
CGY,2012,48,2.466666666666667,2.658125,2.6666666666666665,3.2708333333333335
CHI,2012,48,2.5993749999999998,2.2781249999999997,3.1041666666666665,2.0208333333333335
COL,2012,48,2.3872916666666666,2.9012499999999997,2.375,3.125
DAL,2012,48,2.540625,3.1310416666666665,2.6666666666666665,2.9375
DET,2012,48,2.603125,2.373125,2.5416666666666665,2.2916666666666665
EDM,2012,48,2.4583333333333335,3.0666666666666664,2.5625,2.7291666666666665
FLA,2012,48,2.478333333333333,3.0120833333333334,2.2708333333333335,3.5416666666666665
LAK,2012,48,2.737083333333333,2.2104166666666667,2.7291666666666665,2.375
MIN,2012,48,2.767708333333333,2.225,2.4583333333333335,2.6041666666666665
MTL,2012,48,2.76625,2.293125,3.0416666666666665,2.5833333333333335
NJD,2012,48,2.5797916666666665,2.2154166666666666,2.2916666666666665,2.5416666666666665
NSH,2012,48,2.2329166666666667,2.3816666666666664,2.2708333333333335,2.7708333333333335
NYI,2012,48,2.9789583333333334,2.5591666666666666,2.8125,2.8333333333333335
NYR,2012,48,2.515625,2.4270833333333335,2.625,2.25
OTT,2012,48,2.763333333333333,2.4991666666666665,2.3333333333333335,2.0833333333333335
PHI,2012,48,2.8322916666666664,2.8231249999999997,2.75,2.8958333333333335
PIT,2012,48,2.8560416666666666,2.5622916666666664,3.375,2.4791666666666665
SJS,2012,48,2.88125,2.4529166666666664,2.4166666666666665,2.3333333333333335
STL,2012,48,2.304375,2.1402083333333333,2.5833333333333335,2.375
TBL,2012,48,2.6214583333333334,3.016666666666667,3.0625,3.0625
TOR,2012,48,2.6245833333333333,2.874375,3.0208333333333335,2.6666666666666665
VAN,2012,48,2.5002083333333336,2.4006250000000002,2.5416666666666665,2.3958333333333335
WPG,2012,48,2.545,2.5881250000000002,2.625,2.9375
WSH,2012,48,2.775625,2.810625,3.0416666666666665,2.7083333333333335
ANA,2013,82,2.8154878048780487,2.5953658536585364,3.207317073170732,2.475609756097561
ARI,2013,82,2.5296341463414636,2.863536585365854,2.5609756097560976,2.731707317073171
BOS,2013,82,2.9320731707317074,2.3339024390243903,3.1463414634146343,2.0853658536585367
BUF,2013,82,2.183780487804878,3.0564634146341465,1.829268292682927,2.9634146341463414
CAR,2013,82,2.747560975609756,2.8590243902439023,2.5,2.7560975609756095
CBJ,2013,82,2.4114634146341465,2.364512195121951,2.7439024390243905,2.6097560975609757
CGY,2013,82,2.403780487804878,2.6409756097560977,2.4634146341463414,2.902439024390244
CHI,2013,82,2.852682926829268,2.3365853658536584,3.182926829268293,2.5853658536585367
COL,2013,82,2.692560975609756,2.9456097560975607,2.9878048780487805,2.6341463414634148
